"ΟΝΟΜΑΣΙΑ ΦΟΡΕΑ - ΥΠΗΡΕΣΙΑΣ","ΕΠΟΠΤΕΥΟΝ ΥΠΟΥΡΓΕΙΟ","ΝΟΜΙΚΗ ΜΟΡΦΗ - ΕΙΔΟΣ ΥΠΗΡΕΣΙΑΣ","ΤΟΜΕΙΣ ΠΟΛΙΤΙΚΗΣ","ΥΠΑΓΩΓΗ ΣΤΟ ΔΗΜΟΣΙΟ ΤΟΜΕΑ","ΛΟΙΠΕΣ ΠΛΗΡΟΦΟΡΙΕΣ",﻿"URL","FRAMEWORKS","SERVER","CDN","SSL","COPYRIGHT"
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΑΙΜΟΔΟΣΙΑΣ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","","ekea.gr/","Modernize/PHP/Engintron/","Apache/nginx/","N/A","yes","self hosted","Copyright Year 2013"
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΑΜΕΣΗΣ ΒΟΗΘΕΙΑΣ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","","https://www.snf.org","PHP/Adobe Dreamweaver/","Apache/nginx/","yes","yes","Cloudflare Hosting","N/A"
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΑΞΙΟΛΟΓΗΣΗΣ ΤΗΣ ΠΟΙΟΤΗΤΑΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΣΤΗΝ ΥΓΕΙΑ","ΥΓΕΙΑΣ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","","ΕΝΤΟΣ","","noWebsite","","","","","",""
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΑΠΟΚΑΤΑΣΤΑΣΗΣ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","1η ΔΥΠΕ","www.ilion.gr","","","N/A","N/A","self hosted","N/A"
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΔΗΜΟΣΙΑΣ ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΑΥΤΟΔΙΟΙΚΗΣΗΣ","ΔΙΟΙΚΗΤΙΚΗΣ ΑΝΑΣΥΓΚΡΟΤΗΣΗΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","","https://diavgeia.gov.gr","","nginx/","yes","yes","self hosted","N/A"
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΕΠΙΧΕΙΡΗΣΕΩΝ ΥΓΕΙΑΣ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","","edit.gov.gr","","Apache/","N/A","N/A","self hosted","N/A"
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΕΡΕΥΝΑΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΚΗΣ ΑΝΑΠΤΥΞΗΣ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΕΡΕΥΝΑΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ","ΕΝΤΟΣ","","https://www.certh.gr/","ASP.NET/ASP.NET 2.0/","IIS 7/IIS/IIS 6/","yes","yes","Dedicated Hosting","N/A"
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΕΡΕΥΝΑΣ ΦΥΣΙΚΩΝ ΕΠΙΣΤΗΜΩΝ ΔΗΜΟΚΡΙΤΟΣ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΕΡΕΥΝΑΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ","ΕΝΤΟΣ","","www.gsrt.gr","ASP.NET 4.0/ASP.NET/","IIS/IIS 6/IIS 8/","N/A","N/A","self hosted","Copyright Year 2013"
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ","ΕΡΓΑΣΙΑΣ ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΡΟΝΟΙΑΣ","ΕΝΤΟΣ","","noWebsite","","","","","",""
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΚΟΙΝΩΝΙΚΩΝ ΕΡΕΥΝΩΝ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΕΡΕΥΝΑΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ","ΕΝΤΟΣ","","www.ekke.gr/","PHP/","Apache/nginx/","yes","yes","WestHost","N/A"
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΟΠΤΙΚΟΑΚΟΥΣΤΙΚΩΝ ΜΕΣΩΝ ΚΑΙ ΕΠΙΚΟΙΝΩΝΙΑΣ A.E.","ΨΗΦΙΑΚΗΣ ΠΟΛΙΤΙΚΗΣ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ ΚΑΙ ΕΝΗΜΕΡΩΣΗΣ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","ΕΝΗΜΕΡΩΣΗΣ","ΕΝΤΟΣ","","https://www.newseae.gr","","nginx/","yes","yes","self hosted","N/A"
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΑΕΙΦΟΡΟΥ ΑΝΑΠΤΥΞΗΣ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ","ΕΝΤΟΣ","","ekpaa.ypeka.gr","PHP/","Apache/Apache 2.4/","yes","N/A","self hosted","N/A"
"ΕΘΝΙΚΟ ΚΤΗΜΑΤΟΛΟΓΙΟ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ","ΕΝΤΟΣ","","www.ktimatologio.gr/","ASP.NET 2.0/ASP.NET Ajax/Microsoft Office SharePoint/Adobe Dreamweaver/Shockwave Flash Embed/PHP/ASP.NET/","IIS 7/IIS/IIS 6/","yes","N/A","self hosted","Copyright Year 2013"
"ΕΘΝΙΚΟ ΜΕΤΣΟΒΙΟ ΠΟΛΥΤΕΧΝΕΙΟ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΝΤΟΣ","","www.in.gr","","Varnish/nginx/","yes","N/A","self hosted","N/A"
"ΕΘΝΙΚΟ ΜΟΥΣΕΙΟ ΑΓΡΟΤΙΚΟΥ ΚΙΝΗΜΑΤΟΣ ΚΙΛΕΛΕΡ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΟΛΙΤΙΣΜΟΥ","ΕΝΤΟΣ","","https://www.larissanet.gr","Perl/Frontpage Extensions/Shockwave Flash Embed/PHP/DAV/","IIS/IIS 7/Apache/IIS 8/nginx/","yes","yes","Dedicated Hosting","N/A"
"ΕΘΝΙΚΟ ΜΟΥΣΕΙΟ ΣΥΓΧΡΟΝΗΣ ΤΕΧΝΗΣ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΠΟΛΙΤΙΣΜΟΥ","ΕΝΤΟΣ","","https://www.culturenow.gr","Shockwave Flash Embed/PHP/Perl/PHP 7/","nginx/Apache/LiteSpeed/","yes","yes","Dedicated Hosting","Copyright Year 2011"
"ΕΘΝΙΚΟ ΣΚΟΠΕΥΤΗΡΙΟ ΒΥΡΩΝΑ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΑΘΛΗΤΙΣΜΟΥ","ΕΝΤΟΣ","","noWebsite","","","","","",""
"ΕΘΝΙΚΟ ΣΤΑΔΙΟ ΚΑΥΤΑΤΖΟΓΛΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΑΘΛΗΤΙΣΜΟΥ","ΕΝΤΟΣ","","makpress.blogspot.com","","","N/A","N/A","self hosted","N/A"
"ΕΘΝΙΚΟ ΣΤΑΔΙΟ ΚΟΜΟΤΗΝΗΣ ΠΑΝΘΡΑΚΙΚΟ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΑΘΛΗΤΙΣΜΟΥ","ΕΝΤΟΣ","","https://thrakout.blogspot.com","","","N/A","N/A","self hosted","N/A"
"ΕΘΝΙΚΟ ΣΤΑΔΙΟ ΝΑΥΠΑΚΤΟΥ ΠΑΠΑΧΑΡΑΛΑΜΠΕΙΟ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΑΘΛΗΤΙΣΜΟΥ","ΕΝΤΟΣ","","https://stadionafpaktou.gr","Avada/PHP/","nginx/","yes","yes","SingleHop","N/A"
"ΕΘΝΙΚΟ ΣΥΝΤΟΝΙΣΤΙΚΟ ΚΕΝΤΡΟ ΕΛΕΓΧΟΥ ΣΥΝΟΡΩΝ ΜΕΤΑΝΑΣΤΕΥΣΗΣ ΚΑΙ ΑΣΥΛΟΥ","ΕΣΩΤΕΡΙΚΩΝ","ΑΥΤΟΤΕΛΕΙΣ ΔΗΜΟΣΙΕΣ ΥΠΗΡΕΣΙΕΣ","ΔΗΜΟΣΙΑΣ ΤΑΞΗΣ ΚΑΙ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ","ΕΝΤΟΣ","","www.mopocp.gov.gr","","Apache/","N/A","N/A","self hosted","N/A"
"ΕΘΝΙΚΟ ΣΥΣΤΗΜΑ ΔΙΑΠΙΣΤΕΥΣΗΣ","ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΒΙΟΜΗΧΑΝΙΑΣ","ΕΝΤΟΣ","","www.esyd.gr/","","Apache/Apache 2.2/Apache 2.4/","N/A","N/A","Dedicated Hosting","N/A"
"ΕΣΥΠ ΕΛΛΗΝΙΚΟ ΙΝΣΤΙΤΟΥΤΟ ΜΕΤΡΟΛΟΓΙΑΣ","ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΒΙΟΜΗΧΑΝΙΑΣ","ΕΝΤΟΣ","","www.jetblanc.com","Microsoft Frontpage/","Apache/nginx/","N/A","yes","Web24","N/A"
"ΕΛΛΗΝΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΤΥΠΟΠΟΙΗΣΗΣ ΕΛ.Ο.Τ.","ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΒΙΟΜΗΧΑΝΙΑΣ","ΕΝΤΟΣ","","www.elot.gr/","ASP.NET 2.0/Shockwave Flash Embed/ASP.NET/ASP.NET Ajax/","IIS 6/IIS/","N/A","N/A","Dedicated Hosting","N/A"
"ΕΘΝΙΚΟ ΤΑΜΕΙΟ ΕΠΙΧΕΙΡΗΜΑΤΙΚΟΤΗΤΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ","ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","ΒΙΟΜΗΧΑΝΙΑΣ","ΕΝΤΟΣ","ΣΥΝΕΠΟΠΤΕΙΑ ΜΕ ΤΗΝ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΑΣ","www.eucat.gr","","Apache 2.2/Apache/","N/A","N/A","Hetzner","N/A"
"ΕΘΝΙΚΟ ΤΥΠΟΓΡΑΦΕΙΟ","ΔΙΟΙΚΗΤΙΚΗΣ ΑΝΑΣΥΓΚΡΟΤΗΣΗΣ","ΕΙΔΙΚΕΣ ΓΡΑΜΜΑΤΕΙΕΣ / ΔΙΟΙΚΗΤΙΚΟΙ ΤΟΜΕΙΣ","","ΕΝΤΟΣ","","https://workenter.gr","","nginx/","yes","yes","Hetzner","N/A"
"ΕΘΝΙΚΟ ΧΙΟΝΟΔΡΟΜΙΚΟ ΚΕΝΤΡΟ ΒΑΣΙΛΙΤΣΑΣ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΑΘΛΗΤΙΣΜΟΥ","ΕΝΤΟΣ","","vasilitsa.com/","Frontpage Extensions/PHP/","Apache/Apache 2.2/nginx/","yes","yes","iWeb","N/A"
"ΕΘΝΙΚΟ ΧΙΟΝΟΔΡΟΜΙΚΟ ΚΕΝΤΡΟ ΣΕΛΙΟΥ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΑΘΛΗΤΙΣΜΟΥ","ΕΝΤΟΣ","","noWebsite","","","","","",""
"ΕΘΝΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΚΑΤΑΠΟΛΕΜΗΣΗΣ ΤΟΥ ΝΤΟΠΙΝΓΚ,"ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΑΘΛΗΤΙΣΜΟΥ","ΕΝΤΟΣ","","gga.gov.gr","PHP/","Apache/","N/A","N/A","self hosted","N/A"
"ΕΘΝΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΜΕΤΑΜΟΣΧΕΥΣΕΩΝ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","","www.eom.gr/","PHP/","Apache/Apache 2.2/","yes","yes","Softlayer","Copyright Year 2018"
"ΕΘΝΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΥΓΕΙΑΣ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","","https://www.eopyy.gov.gr/","ASP.NET MVC/ASP.NET/ASP.NET 4.0/","","N/A","yes","Microsoft Azure Europe North Region","N/A"
"ΕΘΝΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΠΙΣΤΟΠΟΙΗΣΗΣ ΠΡΟΣΟΝΤΩΝ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΠΡΟΣΑΝΑΤΟΛΙΣΜΟΥ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΝΤΟΣ","","https://eoppep.gr","PHP/","Apache/Apache 2.4/","yes","yes","Dedicated Hosting","N/A"
"ΕΘΝΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΦΑΡΜΑΚΩΝ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","","https://www.eof.gr/","Shockwave Flash Embed/J2EE/","Apache 2.2/Apache/Apache 2.4/","N/A","N/A","self hosted","N/A"
"ΕΘΝΟΛΟΓΙΚΟ ΜΟΥΣΕΙΟ ΘΡΑΚΗΣ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΚΟΙΝΩΦΕΛΗ ΙΔΡΥΜΑΤΑ","ΠΟΛΙΤΙΣΜΟΥ","ΕΚΤΟΣ","","https://www.gnoristetinellada.gr","Happy Kids/","nginx/","yes","yes","Cloudflare Hosting","N/A"
"ΕΙΔΙΚΑ ΝΠΙΔ ΓΙΑ ΤΗΝ ΑΞΙΟΠΟΙΗΣΗ ΚΑΙ ΔΙΑΧΕΙΡΙΣΗ ΤΗΣ ΠΕΡΙΟΥΣΙΑΣ ΑΕΙ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΚΤΟΣ","","https://www.minedu.gov.gr","PHP/PHP 7/","nginx/","yes","yes","self hosted","N/A"
"ΕΙΔΙΚΕΣ ΜΟΝΑΔΕΣ ΑΝΤΙΜΕΤΩΠΙΣΗΣ ΚΑΤΑΣΤΡΟΦΩΝ","ΕΣΩΤΕΡΙΚΩΝ","ΥΠΗΡΕΣΙΕΣ ΕΙΔΙΚΟΥ ΣΚΟΠΟΥ","ΔΗΜΟΣΙΑΣ ΤΑΞΗΣ ΚΑΙ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ","ΕΝΤΟΣ","","lyk-avlon.att.sch.gr","Thematic/PHP/","Apache/","N/A","N/A","self hosted","N/A"
"ΕΙΔΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΑΞΙΟΠΟΙΗΣΗΣ ΔΙΕΘΝΩΝ ΠΡΟΓΡΑΜΜΑΤΩΝ","ΕΞΩΤΕΡΙΚΩΝ","ΕΙΔΙΚΕΣ ΓΡΑΜΜΑΤΕΙΕΣ / ΔΙΟΙΚΗΤΙΚΟΙ ΤΟΜΕΙΣ","","ΕΝΤΟΣ","","www.sate.gr","ASP.NET 2.0/ASP.NET/","IIS 7/IIS/IIS 6/","yes","yes","Forthnet","N/A"
"ΕΙΔΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΔΙΑΧΕΙΡΙΣΗΣ ΤΟΜΕΑΚΩΝ ΕΠ ΤΟΥ ΕΚΤ","ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ","ΕΙΔΙΚΕΣ ΓΡΑΜΜΑΤΕΙΕΣ / ΔΙΟΙΚΗΤΙΚΟΙ ΤΟΜΕΙΣ","","ΕΝΤΟΣ","","https://empedu.gov.gr","","nginx/","yes","yes","Hetzner","N/A"
"ΕΙΔΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΔΙΑΧΕΙΡΙΣΗΣ ΤΟΜΕΑΚΩΝ ΕΠ ΤΟΥ ΕΤΠΑ ΚΑΙ ΤΣ","ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ","ΕΙΔΙΚΕΣ ΓΡΑΜΜΑΤΕΙΕΣ / ΔΙΟΙΚΗΤΙΚΟΙ ΤΟΜΕΙΣ","","ΕΝΤΟΣ","","www.antagonistikotita.gr","ASP.NET/","IIS/IIS 6/","N/A","N/A","self hosted","N/A"
"ΕΙΔΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΕΠΙΚΟΙΝΩΝΙΑΚΗΣ ΔΙΑΧΕΙΡΙΣΗΣ ΚΡΙΣΕΩΝ","ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ","ΕΙΔΙΚΕΣ ΓΡΑΜΜΑΤΕΙΕΣ / ΔΙΟΙΚΗΤΙΚΟΙ ΤΟΜΕΙΣ","","ΕΝΤΟΣ","","mindigital.gr","PHP/PHP 7/","Apache/Apache 2.4/","yes","yes","Dedicated Hosting","N/A"
"ΕΙΔΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΘΑΓΕΝΕΙΑΣ","ΕΣΩΤΕΡΙΚΩΝ","ΕΙΔΙΚΕΣ ΓΡΑΜΜΑΤΕΙΕΣ / ΔΙΟΙΚΗΤΙΚΟΙ ΤΟΜΕΙΣ","","ΕΝΤΟΣ","","www.ypes.gr","ASP.NET 2.0/ASP.NET Ajax/Shockwave Flash Embed/ASP.NET/","IIS/IIS 6/","N/A","N/A","self hosted","N/A"
"ΕΙΔΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΚΟΙΝΩΝΙΚΗΣ ΕΝΤΑΞΗΣ ΤΩΝ ΡΟΜΑ","ΕΡΓΑΣΙΑΣ ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ","ΕΙΔΙΚΕΣ ΓΡΑΜΜΑΤΕΙΕΣ / ΔΙΟΙΚΗΤΙΚΟΙ ΤΟΜΕΙΣ","","ΕΝΤΟΣ","","https://egroma.gov.gr/","PHP/","nginx/","yes","yes","Hetzner","N/A"
"ΕΙΔΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΚΟΙΝΩΝΙΚΗΣ ΚΑΙ ΑΛΛΗΛΕΓΓΥΑΣ ΟΙΚΟΝΟΜΙΑΣ","ΕΡΓΑΣΙΑΣ ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ","ΕΙΔΙΚΕΣ ΓΡΑΜΜΑΤΕΙΕΣ / ΔΙΟΙΚΗΤΙΚΟΙ ΤΟΜΕΙΣ","","ΕΝΤΟΣ","","https://kalo.gov.gr/","","","yes","yes","Cloudflare Hosting","N/A"
"ΕΙΔΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΣΥΓΧΡΟΝΟΥ ΠΟΛΙΤΙΣΜΟΥ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΕΙΔΙΚΕΣ ΓΡΑΜΜΑΤΕΙΕΣ / ΔΙΟΙΚΗΤΙΚΟΙ ΤΟΜΕΙΣ","","ΕΝΤΟΣ","","https://www.culture.gr","ASP.NET Ajax/Microsoft Office SharePoint/ASP.NET/ASP.NET 4.0/","Apache/Oracle Application Server/Oracle HTTP Server/IIS/IIS 7/","yes","yes","Dedicated Hosting","N/A"
"ΕΙΔΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΣΥΜΠΡΑΞΕΩΝ ΔΗΜΟΣΙΟΥ ΚΑΙ ΙΔΙΩΤΙΚΟΥ ΤΟΜΕΑ","ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ","ΕΙΔΙΚΕΣ ΓΡΑΜΜΑΤΕΙΕΣ / ΔΙΟΙΚΗΤΙΚΟΙ ΤΟΜΕΙΣ","","ΕΝΤΟΣ","","www.sdit.mnec.gr","Perl/","Apache/Apache 2.2/","N/A","N/A","self hosted","N/A"
"ΕΙΔΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΣΥΝΤΟΝΙΣΜΟΥ ΚΑΙ ΔΙΑΧΕΙΡΙΣΗΣ ΠΡΟΓΡΑΜΜΑΤΩΝ ΤΑΜΕΙΟΥ ΑΣΥΛΟΥ ΜΕΤΑΝΑΣΤΕΥΣΗΣ ΚΑΙ ΕΝΤΑΞΗΣ ΚΑΙ ΤΑΜΕΙΟΥ ΕΣΩΤΕΡΙΚΗΣ ΑΣΦΑΛΕΙΑΣ ΚΑΙ ΑΛΛΩΝ ΠΟΡΩΝ","ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ","ΕΙΔΙΚΕΣ ΓΡΑΜΜΑΤΕΙΕΣ / ΔΙΟΙΚΗΤΙΚΟΙ ΤΟΜΕΙΣ","","ΕΝΤΟΣ","","https://www.amifisf.gr","","Apache/","N/A","yes","Hetzner","N/A"
